disclosure_cycle,cdp_requesting_org_number,requesting_organization,cdp_disclosing_org_number,disclosing_organization,disclosing_org_type,cdp_region,discloser_country_or_area,public_status,question_number,question_text,row_order,row_name,col1_Administrative boundary of reporting government,col2_Next highest level of government,col3_Next lowest level of government,col4_Area of the jurisdiction boundary (in square km),"col5_Percentage range of jurisdiction area that is natural or modified terrestrial, freshwater, coastal and/or marine ecosystem",col6_Current (or most recent) population size,col7_Population year,col8_Projected population size,col9_Projected population year,col10_Select the currency used for all financial information reported throughout your response,col11_Select which Common Reporting Framework level you are reporting to^
2025 Disclosure Cycle,779465,CDP,35870,"City of Miami, FL",City,North America,United States of America,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,County / Province,Sub-municipal district,93.23,31-40%,455955,2024,529057,2035,USD US Dollar,
2025 Disclosure Cycle,779465,CDP,35871,City of Monterrey,City,Latin America,Mexico,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,State / regional,No lower level of government,324.4,,1142994,2020,1176936,2027,MXN Mexican Peso,CRF Simplified level
2025 Disclosure Cycle,779465,CDP,35872,Municipality of Recife,City,Latin America,Brazil,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,State / regional,No lower level of government,218.435,31-40%,1588376,2025,1600000,2026,BRL Brazilian Real,CRF Simplified level
2025 Disclosure Cycle,779465,CDP,35873,Medellín,City,Latin America,Colombia,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,Metropolitan area,No lower level of government,376.4,31-40%,2700443,2024,2927890,2030,COP Colombian Peso,CRF Simplified level
2025 Disclosure Cycle,779465,CDP,35874,"City of Phoenix, AZ",City,North America,United States of America,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,County / Province,No lower level of government,1347.0,11-20%,1697696,2024,2277700,2050,USD US Dollar,CRF Complete level
2025 Disclosure Cycle,779465,CDP,35877,"City of Pittsburgh, PA",City,North America,United States of America,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,County / Province,No lower level of government,151.0,41-50%,302905,2022,330000.0,2030,USD US Dollar,CRF Simplified level
2025 Disclosure Cycle,779465,CDP,35878,"City of Sacramento, CA",City,North America,United States of America,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,County / Province,No lower level of government,258.4,11-20%,526383,2023,697764,2045,USD US Dollar,
2025 Disclosure Cycle,779465,CDP,35880,Municipality of Porto Alegre,City,Latin America,Brazil,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,State / regional,City / Municipality,495.977,I do not have this data,1332845,2022,,,BRL Brazilian Real,CRF Simplified level
2025 Disclosure Cycle,779465,CDP,35882,"City of Tampa, FL",City,North America,United States of America,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,County / Province,No lower level of government,295.31,5-10%,408510,2024,500000.0,2045,USD US Dollar,CRF Complete level
2025 Disclosure Cycle,779465,CDP,35883,"City of San José, CA",City,North America,United States of America,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,County / Province,No lower level of government,414.0,31-40%,969491,2024,1120791.0,2030,USD US Dollar,CRF Complete level
2025 Disclosure Cycle,779465,CDP,35884,"City of San Diego, CA",City,North America,United States of America,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,County / Province,No lower level of government,332.0,21-30%,1404452,2024,1665609.0,2035,USD US Dollar,CRF Complete level
2025 Disclosure Cycle,779465,CDP,35885,Tel Aviv-Yafo Municipality,City,UKWW,Israel,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,National,No lower level of government,52.0,21-30%,484214,2024,573100.0,2035,ILS New Israeli Shekel,
2025 Disclosure Cycle,779465,CDP,35886,City of Turin,City,Europe,Italy,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,Metropolitan area,Sub-municipal district,130.0,31-40%,860973,2023,849519,2030,EUR Euro,CRF Complete level
2025 Disclosure Cycle,779465,CDP,35894,"Ville de Montreal, QC",City,North America,Canada,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,Metropolitan area,Other: Communauté métropolitaine de Montréal (CMM),Special city / municipality,499.1,21-30%,2109525,2023,2261924.0,2040,CAD Canadian Dollar,CRF Complete level
2025 Disclosure Cycle,779465,CDP,35897,Municipality of Campinas,City,Latin America,Brazil,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,State / regional,Sub-municipal district,794.571,21-30%,1139047,2022,1200940,2050,BRL Brazilian Real,CRF Complete level
2025 Disclosure Cycle,779465,CDP,35898,Greater Manchester Combined Authority,City,UKWW,United Kingdom,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,Metropolitan area,National,Sub-municipal district,1275.98,41-50%,2948633,2023,3043086.0,2038,GBP Pound Sterling,CRF Complete level
2025 Disclosure Cycle,779465,CDP,35914,Greater Hyderabad Municipal Corporation,City,India,India,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,State / regional,No lower level of government,610,21-30%,6731790,2011,12138549,2030,INR Indian Rupee,CRF Complete level
2025 Disclosure Cycle,779465,CDP,35993,Singapore Government,City,South East Asia & Oceania,Singapore,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,Sovereign city-state,No higher level of government,No lower level of government,736.3,I do not have this data,6036900,2024,,,SGD Singapore Dollar,
2025 Disclosure Cycle,779465,CDP,36004,City of Abidjan,City,UKWW,Côte d'Ivoire,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,Federal district,State / regional,City / Municipality,2119.0,5-10%,6110642.0,2021,7976113.0,2030,XOF CFA West African Franc,
2025 Disclosure Cycle,779465,CDP,36032,Ville de Dakar,City,UKWW,Senegal,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,National,Special city / municipality,83.0,<5%,1514796,2023,,,XOF CFA West African Franc,
2025 Disclosure Cycle,779465,CDP,36036,City of Ibadan,City,UKWW,Nigeria,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,State / regional,Local government area within a greater metropolitan area,3080,21-30%,3850000.0,2023,4000000.0,,NGN Naira,
2025 Disclosure Cycle,779465,CDP,36037,Santiago de Cali,City,Latin America,Colombia,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,City/Municipality,Sub-municipal district,564,61-70%,2283846,2022,2547664,2035,COP Colombian Peso,CRF Complete level
2025 Disclosure Cycle,779465,CDP,36039,Accra Metropolitan Assembly,City,UKWW,Ghana,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,Metropolitan area,State / regional,Sub-municipal district,23.46,41-50%,2036889.0,2020,8506210.0,2030,GHS Cedi,CRF Simplified level
2025 Disclosure Cycle,779465,CDP,36045,Santiago de Guayaquil,City,Latin America,Ecuador,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,County / Province,Sub-municipal district,4490.69,31-40%,2746403,2022,3007696,2026,USD US Dollar,CRF Complete level
2025 Disclosure Cycle,779465,CDP,36152,City of Tallinn,City,Europe,Estonia,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,State / regional,No lower level of government,159.38,31-40%,461090,2024,500000,2050,XBA European Composite Unit (EURCO) (Bonds market unit),CRF Complete level
2025 Disclosure Cycle,779465,CDP,36159,City of Lisbon,City,Europe,Portugal,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,State / regional,Sub-municipal district,100.0,31-40%,545796,2021,570000,2030,EUR Euro,CRF Complete level
2025 Disclosure Cycle,779465,CDP,36218,Fukuoka City,City,Japan,Japan,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,State / regional,Special city / municipality,343.47,51-60%,1669707,2025,1677200,2030,JPY Japanese yen,
2025 Disclosure Cycle,779465,CDP,36219,City of Sapporo,City,Japan,Japan,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,Special city / municipality,State / regional,No lower level of government,1121.26,61-70%,1968265,2024,1941000,2030,JPY Japanese yen,
2025 Disclosure Cycle,779465,CDP,36247,City of Arezzo,City,Europe,Italy,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,County / Province,No lower level of government,384.7,61-70%,442,2023,100000.0,2050,EUR Euro,
2025 Disclosure Cycle,779465,CDP,36254,City of Venice,City,Europe,Italy,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,Metropolitan area,No lower level of government,417.0,11-20%,251801,2024,235715,2041,EUR Euro,CRF Simplified level
2025 Disclosure Cycle,779465,CDP,36262,City of Genoa,City,Europe,Italy,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,City/Municipality,Metropolitan area,243.0,51-60%,565775,2024,540000,2030,EUR Euro,CRF Complete level
2025 Disclosure Cycle,779465,CDP,36285,City of Florence,City,Europe,Italy,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,Metropolitan area,No lower level of government,102.4,51-60%,366079.0,2022,367000.0,2030,EUR Euro,CRF Complete level
2025 Disclosure Cycle,779465,CDP,36410,"City of Memphis, TN",City,North America,United States of America,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,State / regional,No lower level of government,844.21,51-60%,922195,2023,863062,2050,USD US Dollar,CRF Complete level
2025 Disclosure Cycle,779465,CDP,36469,City of L'Aquila,City,Europe,Italy,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,State / regional,No lower level of government,47391.0,21-30%,70595,2025,,,EUR Euro,
2025 Disclosure Cycle,779465,CDP,36496,City of Palermo,City,Europe,Italy,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,County / Province,Sub-municipal district,160.59,31-40%,625956,2024,483345,2050,EUR Euro,
2025 Disclosure Cycle,779465,CDP,36501,City of Prato,City,Europe,Italy,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,State / regional,City / Municipality,97.35,31-40%,196277,2023,196578,2026,EUR Euro,CRF Simplified level
2025 Disclosure Cycle,779465,CDP,36517,City of Treviso,City,Europe,Italy,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,County / Province,No lower level of government,55.58,51-60%,85770,2025,86708,2030,EUR Euro,
2025 Disclosure Cycle,779465,CDP,37261,City of Pietermaritzburg,City,UKWW,South Africa,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,City/Municipality,No lower level of government,751.0,41-50%,932757,2025,,,ZAR South African Rand,CRF Simplified level
2025 Disclosure Cycle,779465,CDP,42120,City of Salvador,City,Latin America,Brazil,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,State / regional,Sub-municipal district,692589,61-70%,2568928,2024,,,BRL Brazilian Real,CRF Complete level
2025 Disclosure Cycle,779465,CDP,42123,City of Goiânia,City,Latin America,Brazil,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,State / regional,Sub-municipal district,739.5,31-40%,1536097,2022,,,BRL Brazilian Real,CRF Simplified level
2025 Disclosure Cycle,779465,CDP,42178,Distrito Metropolitano de Quito,City,Latin America,Ecuador,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,Metropolitan area,National,No lower level of government,421795,61-70%,2831122.0,2022,3252508.0,2030,USD US Dollar,CRF Simplified level
2025 Disclosure Cycle,779465,CDP,42388,Intendencia de Montevideo,City,Latin America,Uruguay,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,County / Province,National,City / Municipality,530.0,61-70%,1302950,2023,1271512,2026,USD US Dollar,CRF Simplified level
2025 Disclosure Cycle,779465,CDP,43905,"City of San Antonio, TX",City,North America,United States of America,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,State / regional,Sub-municipal district,80.4672,I do not have this data,1526656,2024,1597803,2030,USD US Dollar,CRF Simplified level
2025 Disclosure Cycle,779465,CDP,43907,"City of Indianapolis, IN",City,North America,United States of America,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,Consolidated city-county,State / regional,Local government area within a greater metropolitan area,950,11-20%,900896,2024,982759,2030,USD US Dollar,CRF Simplified level
2025 Disclosure Cycle,779465,CDP,43908,"City of Milwaukee, WI",City,North America,United States of America,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,County / Province,City / Municipality,249.0,41-50%,556111,2024,627400,2040,USD US Dollar,
2025 Disclosure Cycle,779465,CDP,43909,"City of Orlando, FL",City,North America,United States of America,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,County / Province,No lower level of government,356.4,61-70%,334490,2024,497000,2050,USD US Dollar,CRF Complete level
2025 Disclosure Cycle,779465,CDP,43910,"City of Columbus, OH",City,North America,United States of America,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,County / Province,Intercommunality / Intermunicipality,554,<5%,912274,2023,1281841.0,2050,USD US Dollar,CRF Complete level
2025 Disclosure Cycle,779465,CDP,43911,"City of Ottawa, ON",City,North America,Canada,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,County / Province,No lower level of government,2790,71-80%,1097760,2024,1409649,2046,CAD Canadian Dollar,CRF Complete level
2025 Disclosure Cycle,779465,CDP,43912,"City of Edmonton, AB",City,North America,Canada,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,County / Province,No lower level of government,782.73,51-60%,1142400,2023,1306100,2028,CAD Canadian Dollar,CRF Complete level
2025 Disclosure Cycle,779465,CDP,43914,"City of Charlotte, NC",City,North America,United States of America,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,County / Province,No lower level of government,796.0,61-70%,911311,2023,1491900.0,2040,USD US Dollar,CRF Simplified level
2025 Disclosure Cycle,779465,CDP,43917,Capital Municipality of Sofia,City,Europe,Bulgaria,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,State / regional,Consolidated city-county,1345,51-60%,1295931,2024,1362231,2030,BGN Bulgarian Lev,CRF Complete level
2025 Disclosure Cycle,779465,CDP,43920,City of Ljubljana,City,Europe,Slovenia,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,National,Sub-municipal district,275,71-80%,300354,2025,309000,2030,EUR Euro,CRF Complete level
2025 Disclosure Cycle,779465,CDP,43921,City of Zagreb,City,Europe,Croatia,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,Consolidated city-county,National,Sub-municipal district,641.22,61-70%,771062,2023,,,EUR Euro,CRF Complete level
2025 Disclosure Cycle,779465,CDP,43926,City of Mannheim,City,Europe,Germany,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,State / regional,Consolidated city-county,144.96,31-40%,328647,2024,338215.0,2040,EUR Euro,CRF Complete level
2025 Disclosure Cycle,779465,CDP,43930,Municipality of The Hague,City,Europe,Netherlands,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,National,County / Province,98.2,11-20%,564000.0,2023,725000.0,2050,EUR Euro,CRF Complete level
2025 Disclosure Cycle,779465,CDP,43932,Auckland Council,City,South East Asia & Oceania,New Zealand,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,National,Sub-municipal district,4941.0,41-50%,1739300,2023,2158400.0,2048,NZD New Zealand Dollar,CRF Complete level
