disclosure_cycle,cdp_requesting_org_number,requesting_organization,cdp_disclosing_org_number,disclosing_organization,disclosing_org_type,cdp_region,discloser_country_or_area,public_status,question_number,question_text,row_order,row_name,col1_Passenger mode share data to report,col2_Passenger mode share: Walking (%),col3_Passenger mode share: Cycling (%),col4_Passenger mode share: Micromobility (including e-scooters) (%),col5_Passenger mode share: Buses (including Bus Rapid Transit) (%),col6_Passenger mode share: Rail/Metro/Tram (%),col7_Passenger mode share: Ferries/ River boats (%),col8_Passenger mode share: Taxis or shared vehicles (e.g. hire vehicles) (%),col9_Passenger mode share: Private motorized transport (%),col10_Passenger mode share: Informal/paratransit/popular transit systems (%),col11_Passenger mode share: Other (%),col12_Year passenger mode share data applies to,col13_Total passenger mode share reported (%),col14_Freight mode share data to report,col15_Freight mode share: Motorcycle / Two wheeler (%),col16_Freight mode share: Light Goods Vehicles (LGV) (%),col17_Freight mode share: Medium Goods vehicles (MGV) (%),col18_Freight mode share: Heavy Goods vehicles (HGV) (%),col19_Freight mode share: Rail (%),col20_Freight mode share: Inland water transport (%),col21_Freight mode share: Other (%),col22_Year freight mode share data applies to,col23_Total freight mode share reported (%),col24_Comment
2025 Disclosure Cycle,779465,CDP,60151,City of Tuzla (Bosnia-Herzegovina),City,Europe,Bosnia and Herzegovina,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Passenger mode share as share of trips (%),5,5,0,20,0,0,30,40,0,0,2024,100.00,,,,,,,,,,,
2025 Disclosure Cycle,779465,CDP,60165,Municipality of Fuenlabrada,City,Europe,Spain,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Passenger mode share as share of trips (%),87,0,0.65,7.15,2.6,,0.39,1.82,,0.39,2022,,,,,,,,,,,,Datos obtenidos del PMUS en proceso de aprobación. Datos basados en encuestas
2025 Disclosure Cycle,779465,CDP,60178,Linköping Municipality,City,Europe,Sweden,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Passenger mode share as share of trips (%),,36,,14,,,,51,,,,101.00,,,,,,,,,,,
2025 Disclosure Cycle,779465,CDP,60183,City of Rzeszów,City,Europe,Poland,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Passenger mode share as share of trips (%),28,1.3,0.1,16,0.2,,0.6,53.5,,0.3,2022,100.00,Jurisdiction does not have mode share data for freight transport,,,,,,,,,,"Passenger mode ahare data - SUMP. Results of a survey conducted in 2023 by the Central Statistical Office as part of the Rzeszów Traffic Research (RBR). The survey was conducted among 12,000 respondents.\nCurrently, the share of sustainable modes of transport (i.e., walking, cycling, scooters, public transport) is approximately 38%.\n\n"
2025 Disclosure Cycle,779465,CDP,60187,City of Solna,City,Europe,Sweden,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Passenger mode share as share of trips (%),17,13,2,20,21,,,27,,,2024,100.00,,,,,,,,,,,Source: Resvaneundersökning för Stockholmsregionen 2024 https://www.regionstockholm.se/49e914/contentassets/d6c4da12e11843c0ab8249c297dfd8fe/resvaneundersokning_for_stockholmsregionen_2024.pdf\n\n\'Public transport\' - I divided into half bus and half rail-based. \'Car\' I allocated entirely to private car and nothing to rental car/taxi.
2025 Disclosure Cycle,779465,CDP,60216,Växjö Municipality,City,Europe,Sweden,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Passenger mode share as share of trips (%),11,18,0.0,9,0.0,0.0,0.0,62.0,0,0.0,2025,100.00,Jurisdiction does not have mode share data for freight transport,,,,,,,,,,"The modal split is from a travel habit survey carried out 2024/2025. There are no big changes from the survey carried out in 2012, except that is a small increase in the use of public transport, at the cost of travels by bike.\nAnother notable change is that the number of daily travels have decreased from 2,6 per person and day in 2012 to 1,7 per person and day in 2025. This could be a result of the experiences from the pandemic, that the need for any travels are not always there."
2025 Disclosure Cycle,779465,CDP,60226,Luleå Municipality,City,Europe,Sweden,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Passenger mode share as share of trips (%),9,36,2,10,0,0,0,41,0,2,2020,100.00,Jurisdiction does not have mode share data for freight transport,,,,,,,,,,We only conduct a complete travel survey every other 5 years. Next one is during 2025. Ferries and riverboats is avaliable in the jurisdiction but negitable. Taxis and shared services is not lacking data and is given 0. We are conducting the 2025 survey but we have no new data yet.\n
2025 Disclosure Cycle,779465,CDP,60236,Trelleborg Municipality,City,Europe,Sweden,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Passenger mode share as share of trips (%),4,9,0.0,9,16,0.0,,59,,3,,100.00,,,,,,,,,,,From a regional travel report Resvaneundersökning 2023
2025 Disclosure Cycle,779465,CDP,60268,Prefeitura de Brumadinho,City,Latin America,Brazil,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Passenger mode share as share of vehicle distance travelled (%),5,,,40,0,0,20,,,,,65.00,,,,,,,,,,,
2025 Disclosure Cycle,779465,CDP,60310,Prefeitura de Petrópolis,City,Latin America,Brazil,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Jurisdiction does not have passenger mode share data,,,,,,,,,,,,,,,,,,,,,,,
2025 Disclosure Cycle,779465,CDP,60320,Prefeitura de Presidente Prudente,City,Latin America,Brazil,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Jurisdiction does not have passenger mode share data,,,,,,,,,,,,,,,,,,,,,,,
2025 Disclosure Cycle,779465,CDP,60332,Prefeitura de São Carlos,City,Latin America,Brazil,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Passenger mode share as share of trips (%),4,8,0,19,0,0,23,37,11,7,2023,109.00,,,,,,,,,,,"Abaixo está o link com o plano de mobilidade urbana do município de São Carlos\n\nhttp://www.saocarlos.sp.gov.br/files/planmob_sa%CC%83o%20carlos.pdf\n\nAs porcentagens indicadas foram baseadas no levantamento por pesquisa de amostragem de 1327 entrevistados. Os dados podem ser consultados a partir da página 274do plano de mobilidade urbana de São Carlos, indicado no endereço eletrônico acima."
2025 Disclosure Cycle,779465,CDP,60341,Prefeitura de Rio Grande,City,Latin America,Brazil,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Jurisdiction does not have passenger mode share data,,,,,,,,,,,,,,,,,,,,,,,
2025 Disclosure Cycle,779465,CDP,60349,Prefeitura de São Leopoldo,City,Latin America,Brazil,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Jurisdiction does not have passenger mode share data,,,,,,,,,,,,,,,,,,,,,,,Não houve atualização dos estudos e levantamentos realizados em outros reportes de anos anteriores.
2025 Disclosure Cycle,779465,CDP,60351,Prefeitura de Sobral,City,Latin America,Brazil,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Passenger mode share as share of trips (%),20.6,3.1,1,11.6,1,0.1,30,63.78,90,0.92,2017,222.10,,,,,,,,,,,"De acordo com o reporte da Secretaria do Trânsito e Transportes (SETRAN), 2023, os modais de transporte são classificados em: Transporte de passageiros/ Ônibus: 565;Transporte de passageiros: trem/metrô: 05, sendo 02 VLTs, utilizados na 01 na Linha Norte e um outro na Linha Sul e 03 de reserva; Transporte de passageiros: Táxis ou veículos compartilhados (por ex., veículos de aluguel): 200;Transporte motorizado moto taxi de Sobral: 753;Transporte de passageiros: Transporte motorizado particular: 106.016;Transporte de passageiros/outros: 960."
2025 Disclosure Cycle,779465,CDP,60361,Prefeitura de Tangará da Serra,City,Latin America,Brazil,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Jurisdiction does not have passenger mode share data,,,,,,,,,,,,,,,,,,,,,,,
2025 Disclosure Cycle,779465,CDP,60381,Alcaldía Distrital de Santa Marta,City,Latin America,Colombia,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Jurisdiction does not have passenger mode share data,,,,,,,,,,,,,,,,,,,,,,,"El porcentaje de uso de medios de transporte en la ciudad se complementa con un 13% para camperos y 6% camiones, no se ha estimado el uso de ciclismo, a pesar de que es utilizado en la urbe "
2025 Disclosure Cycle,779465,CDP,60384,Alcaldía de Yopal,City,Latin America,Colombia,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Jurisdiction does not have passenger mode share data,,,,,,,,,,,,,,,,,,,,,,,n/a
2025 Disclosure Cycle,779465,CDP,60385,Alcaldía de Villavicencio,City,Latin America,Colombia,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Passenger mode share as share of trips (%),34,4,1,15,0,0,5,1,1,39,2024,100.00,,,,,,,,,,,n/a
2025 Disclosure Cycle,779465,CDP,60388,Municipalidad Provincial de Chiclayo,City,Latin America,Peru,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Passenger mode share as share of trips (%),20,10,30,,0,,15,,20,5,2023,100.00,,,,,,,,,,,"Es necesario incentivar la movilidad menor (bicicleta o moto eléctrica) reducir parque automotor principalmente de combis y colectivos y vehículos informales (piratas), eliminar movilidad antigua al chatarreo, uso de combustibles a base de gas natural y eléctricos."
2025 Disclosure Cycle,779465,CDP,60396,Municipalidad Provincial de Maynas (Iquitos),City,Latin America,Peru,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Jurisdiction does not have passenger mode share data,,,,,,,,,,,,,,,,,,,,,,,
2025 Disclosure Cycle,779465,CDP,60400,Municipalidad de Temuco,City,Latin America,Chile,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Passenger mode share as share of trips (%),3,2,,26,,,,,,,,31.00,,,,,,,,,,,Los datos corresponden al estudio de actualización diagnostico territorial para modificación al plan regulador comuna. Estudio para la capacidad vial. 
2025 Disclosure Cycle,779465,CDP,60407,Municipalidad de Colina,City,Latin America,Chile,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Jurisdiction does not have passenger mode share data,,,,,,,,,,,,,,,,,,,,,,,
2025 Disclosure Cycle,779465,CDP,60408,Municipalidad de Talca,City,Latin America,Chile,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Jurisdiction does not have passenger mode share data,,,,,,,,,,,,,,,,,,,,,,,
2025 Disclosure Cycle,779465,CDP,60410,Municipalidad de Peñalolén,City,Latin America,Chile,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Passenger mode share as share of vehicle distance travelled (%),3.68,1.21,0.0,11.8,8.82,0.0,0.0,70.5,0,0.0,2023,96.01,Jurisdiction does not have mode share data for freight transport,,,,,,,,,,"Datos obtenidos a través de la plataforma Environmental Insights Explorer (EIE) que pone a disposición datos de uso de transporte propios de la jurisdicción, a partir de datos reales georreferenciados. \n\nhttps://partnerdash.google.com/apps/environmental-insights/places/ChIJk5VR2PDRYpYRgw-O-_qCDt8/transportation?a=90178149"
2025 Disclosure Cycle,779465,CDP,60433,Hvidovre Municipality,City,Europe,Denmark,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Passenger mode share as share of vehicle distance travelled (%),5.0,7.0,0.0,2.0,12,0.0,0.0,74,0,0.0,2023,100.00,,,,,,,,,,,From The Danish National Travel Survey by DTU. It is an interview survey which serves to document the travel patterns of the Danish population. data is based on a three year avarage (2021-2023)
2025 Disclosure Cycle,779465,CDP,60546,Nanjing Municipal People's Government,City,China,China,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Jurisdiction does not have passenger mode share data,,,,,,,,,,,,,,,,,,,,,,,
2025 Disclosure Cycle,779465,CDP,60588,City of Alba Iulia,City,Europe,Romania,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Passenger mode share as share of trips (%),22,5,3,15,0,0,5,50,0,0,2025,100.00,,,,,,,,,,,This evaluation was provided by ANERGO Energy Observatory for research purposes only and is not official
2025 Disclosure Cycle,779465,CDP,60599,"Town of Bridgewater, NS",City,North America,Canada,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Passenger mode share as share of trips (%),9.9,0.2,0.0,0.4,0.0,0.0,0.0,87.8,0,1.7,2021,100.00,Jurisdiction does not have mode share data for freight transport,,,,,,,,,,"Source: 2021 Census data for Bridgewater, NS."
2025 Disclosure Cycle,779465,CDP,60602,"Town of Ajax, ON",City,North America,Canada,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Passenger mode share as share of trips (%),2,2,1.0,6.0,2,0,15.0,71.0,0,1.0,2022,100.00,Jurisdiction does not have mode share data for freight transport,,,,,,,,,,Source: Town of Ajax\nTransportation Demand\n Management Plan (TDMP)\n https://www.ajax.ca/en/play-and-discover/resources/Transportation/TDM-2023/Ajax-TDM-Plan-Update-2023.04.04.pdf.\n\nThe TDMP is planned for an update in 2028.
2025 Disclosure Cycle,779465,CDP,60625,Dire Dawa,City,UKWW,Ethiopia,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Passenger mode share as share of vehicle distance travelled (%),0,0,2,60,0,0,0,5,29,4,2024,100.00,,,,,,,,,,,"The assessment of passenger mode share by vehicle-kilometers traveled (VKT) was conducted primarily to support the emissions inventory, and therefore focused on motorized vehicles. As a result, non-motorized modes such as walking and cycling—although significant for urban mobility in Dire Dawa—were not included in this analysis. The data presented thus reflects only the passenger mode share of motorized VKT. In future assessments, the City intends to expand data collection methodologies to capture walking and cycling trips, in order to provide a more comprehensive picture of mobility patterns, support sustainable transport planning, and align with C40 and CDP best practices on integrating non-motorized transport into climate action planning."
