disclosure_cycle,cdp_requesting_org_number,requesting_organization,cdp_disclosing_org_number,disclosing_organization,disclosing_org_type,cdp_region,discloser_country_or_area,public_status,question_number,question_text,row_order,row_name,col1_Indicator used to estimate energy poverty^,col2_Percentage of households or total population within the jurisdiction boundary that face energy poverty^,col3_Threshold used for energy poverty^,col4_Comment
2025 Disclosure Cycle,779465,CDP,60140,City of Nakuru,City,UKWW,Kenya,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Percentage of households within the jurisdiction boundary that face energy poverty,68.5,Up to 15% of income spent on energy services,"The high rate of energy poverty in Nakuru County underscores the urgent need for targeted interventions. While urban centers show moderate progress, rural areas remain disproportionately affected due to limited infrastructure, affordability challenges, and low awareness. Addressing energy poverty will require a multi-pronged approach—expanding grid and off-grid solutions, promoting clean cooking technologies, and integrating energy access into broader development planning."
2025 Disclosure Cycle,779465,CDP,60142,City of Kisumu,City,UKWW,Kenya,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Energy poverty not estimated,,,
2025 Disclosure Cycle,779465,CDP,60165,Municipality of Fuenlabrada,City,Europe,Spain,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Percentage of households within the jurisdiction boundary that face energy poverty,10.52,"Other: Porcentaje de hogares cuyo gasto energético sobre los ingresos es superior al doble de la mediana nacional:5,2%",No se ha evaluado aun. El valor proporcionado es a nivel regional
2025 Disclosure Cycle,779465,CDP,60178,Linköping Municipality,City,Europe,Sweden,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Energy poverty not estimated,,,
2025 Disclosure Cycle,779465,CDP,60183,City of Rzeszów,City,Europe,Poland,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,,,,No calculation of energy poverty in Poland. Estimates possible based on data from the Central Statistical Office and Municipal Social Welfare Centre after the results are released.
2025 Disclosure Cycle,779465,CDP,60216,Växjö Municipality,City,Europe,Sweden,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Energy poverty not estimated,,,"This has not been quantified. In 2024 I would say close to 0%. If households in Sweden/Växjö face situations where it is difficult to pay the bills, there is always a possibility to seek social subsidies from the municipality. However, in winter 2021 the costs for electricity increased dramatically and many people started to complain about high electricity bills. The households with the highest costs (=highest consumption) even got national subsidies in the beginning of 2022. "
2025 Disclosure Cycle,779465,CDP,60226,Luleå Municipality,City,Europe,Sweden,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Energy poverty not estimated,,,"We do not specifically meusure energy poverty but there is data for how many hours per year a certain adress or area is suffering from temporary outages. \n\nhttps://nilsholgersson.nu/wp-content/uploads/2023/10/NH2023_Slutrapport_v231018.pdf \n\nThis report has given Luleå the number one ranking of all swedish municipalities when it comes to the most affordable municipality in terms the costs for energy, waste and water services."
2025 Disclosure Cycle,779465,CDP,60236,Trelleborg Municipality,City,Europe,Sweden,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Energy poverty not estimated,,,Energy poverty has historically not been a factor in Sweden. Due to the energy crisis in Europe research is now being started to investigate potential energy poverty in Sweden.
2025 Disclosure Cycle,779465,CDP,60310,Prefeitura de Petrópolis,City,Latin America,Brazil,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Energy poverty not estimated,,,
2025 Disclosure Cycle,779465,CDP,60320,Prefeitura de Presidente Prudente,City,Latin America,Brazil,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Energy poverty not estimated,,,
2025 Disclosure Cycle,779465,CDP,60349,Prefeitura de São Leopoldo,City,Latin America,Brazil,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Percentage of households within the jurisdiction boundary that face energy poverty,0.42,Up to 20% or more of income spent on energy services,"O índice de vulnerabilidade energética para São Leopoldo é 0,42, em uma escala de 0 a 1, sendo considerado um índice médio.\n\nJá o multi-índice de pobreza energética, de acordo com o Adapta Brasil, considera o valor 0 (zero) para o Rio Grande do Sul.\nO indicador foi obtido no artigo \'The multidimensionality of energy poverty in Brazil: A historical analysis\' de Bezerra et al. (2022). Ele contempla três eixos: (i) o acesso físico a fontes de energia, medido, por exemplo, pela existência de conexão ao Sistema Interligado Nacional (SIN), (ii) a posse de equipamentos, como televisão, geladeira, refrigerador e acesso à internet e (iii) e a acessibilidade, ou capacidade de pagamento pelo uso da energia, medido pelo peso das despesas com energia na despesa total da residência. No artigo, o Multidimensional energy poverty index (MEPI) foi calculado por estado, diferenciando a população urbana e rural. No AdaptaBrasil MCTI, com o intuito de se chegar a um valor único para cada estado, o indicador foi ponderado pela população urbana e rural.\nO indicador MEPI foi obtido no artigo referenciado anteriormente e a população rural e urbana foi obtida na Pesquisa de Orçamentos Familiares (POF) 2017-2018, do Instituto Brasileiro de Geografia e Estatística (IBGE)."
2025 Disclosure Cycle,779465,CDP,60351,Prefeitura de Sobral,City,Latin America,Brazil,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Energy poverty not estimated,,,Não temos conhecimento. 
2025 Disclosure Cycle,779465,CDP,60361,Prefeitura de Tangará da Serra,City,Latin America,Brazil,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Energy poverty not estimated,,,
2025 Disclosure Cycle,779465,CDP,60385,Alcaldía de Villavicencio,City,Latin America,Colombia,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Energy poverty not estimated,,,na
